Date:,Thu Sep  5 15:31:12 2024
Time:,1725564672.9033756
t1,v1,t2,v2,t3,v3,t4,v4,t5,v5,t6,v6,t7,v7,t8,v8,t9,T
0.3001370429992676,-0.0640567,0.597602367401123,-0.0649665,1.212594747543335,1.854848,1.6658737659454346,0.0995941,2.27052640914917,0.449474,2.5847864151000977,0.448561,2.891942024230957,0.860079,3.188366651535034,0.84736,3.21928071975708,23.9297
3.7182250022888184,-0.0640663,4.035820484161377,-0.0649773,4.660630702972412,1.855067,5.127586126327515,0.0995955,5.731847763061523,0.449547,6.036879301071167,0.448641,6.358977317810059,0.860185,6.672294616699219,0.746077,6.713764667510986,24.0
7.220782041549683,-0.0640778,7.533252000808716,-0.064987,8.153403043746948,1.855325,8.615869522094727,0.0995959,9.247066259384155,0.449616,9.563849687576294,0.448706,9.879861831665039,0.860291,10.2078697681427,0.830933,10.236496925354004,23.9219
10.73149299621582,-0.0640916,11.045178890228271,-0.0649963,11.669872522354126,1.855547,12.143196105957031,0.0995965,12.769317388534546,0.449686,13.058394432067871,0.448786,13.365831136703491,0.860391,13.677685737609863,0.848878,13.708916664123535,24.0
14.187134504318237,-0.0641074,14.500143051147461,-0.0650113,15.117350816726685,1.855771,15.575374126434326,0.099595,16.190481901168823,0.449762,16.497606992721558,0.448859,16.829257488250732,0.860503,17.1718111038208,0.878305,17.202799320220947,24.0391
17.677227020263672,-0.0641193,18.004068613052368,-0.0650178,18.62365174293518,1.856028,19.09793734550476,0.0995959,19.722754955291748,0.449835,20.044755935668945,0.448944,20.387987852096558,0.860616,20.69976568222046,0.818903,20.74634885787964,24.0391
21.221152544021606,-0.0641349,21.533512353897095,-0.0650315,22.15837049484253,1.856276,22.628076553344727,0.0995957,23.23739194869995,0.449913,23.529115915298462,0.449025,23.841971158981323,0.860738,24.144858598709106,0.886707,24.17051887512207,24.1719
24.649471759796143,-0.0641448,24.977628707885742,-0.0650414,25.588026762008667,1.856563,26.066463947296143,0.0995947,26.678095817565918,0.449993,26.995003700256348,0.44911,27.32326865196228,0.860872,27.649474382400513,0.88984,27.685506343841553,24.1484
28.15392303466797,-0.064167,28.477113008499146,-0.0650559,29.12358784675598,1.856874,29.59690499305725,0.0995953,30.207184553146362,0.45009,30.535508394241333,0.449209,30.84387469291687,0.861002,31.15617847442627,0.89954,31.202906847000122,24.1016
31.665083646774292,-0.0641848,31.982506036758423,-0.065072,32.60310649871826,1.857191,33.06357479095459,0.0995954,33.67861199378967,0.450185,34.005374908447266,0.44931,34.331948041915894,0.861166,34.6450731754303,0.870621,34.70632314682007,24.1797
35.18940496444702,-0.0642007,35.51284742355347,-0.0650875,36.13638424873352,1.857552,36.60636782646179,0.0995953,37.242263317108154,0.450294,37.554794788360596,0.449426,37.877575159072876,0.861329,38.190916776657104,0.766235,38.237645864486694,24.1797
38.726614236831665,-0.064218,39.0399489402771,-0.0651027,39.65320539474487,1.857936,40.13748049736023,0.0995959,40.774516105651855,0.450416,41.09753489494324,0.449547,41.42466139793396,0.861503,41.73782920837402,0.859309,41.784815549850464,24.1953
42.2481472492218,-0.0642423,42.57695746421814,-0.0651233,43.2147479057312,1.858343,43.68900656700134,0.0995957,44.298381090164185,0.450542,44.61082077026367,0.449679,44.93506860733032,0.86168,45.26740550994873,0.903726,45.32988500595093,24.1719
45.799227237701416,-0.0642679,46.11226439476013,-0.0651387,46.74307346343994,1.858785,47.20775508880615,0.0995946,47.833189249038696,0.450671,48.141491651535034,0.449815,48.47043561935425,0.86188,48.78652739524841,0.910133,48.832412004470825,24.3125
49.309900760650635,-0.0642943,49.63411784172058,-0.0651603,50.263797998428345,1.859238,50.72930669784546,0.0995954,51.37073636054993,0.450803,51.67907118797302,0.449956,52.01118493080139,0.862091,52.3541738986969,0.872113,52.39983367919922,24.3047
52.88801288604736,-0.0643186,53.203863859176636,-0.0651805,53.82889771461487,1.859716,54.31365418434143,0.0995948,54.929348945617676,0.450946,55.2553653717041,0.450102,55.614293575286865,0.86232,55.94096517562866,0.761784,55.98681116104126,24.2891
56.45588493347168,-0.0643473,56.786203384399414,-0.0652032,57.40597891807556,1.860221,57.890976905822754,0.0995947,58.515950441360474,0.451099,58.83405947685242,0.450263,59.141719341278076,0.862545,59.469446420669556,0.779383,59.5006844997406,24.4453
59.99531054496765,-0.0643713,60.31174182891846,-0.0652272,60.93744134902954,1.86075,61.406219720840454,0.099596,62.029083013534546,0.451264,62.34411406517029,0.450428,62.673577308654785,0.862784,62.99233269691467,0.918008,63.02264332771301,24.4688
63.517399072647095,-0.0644034,63.82514452934265,-0.0652497,64.44044756889343,1.861283,64.8992850780487,0.099595,65.51044058799744,0.451425,65.80630111694336,0.450604,66.12293195724487,0.863024,66.41920685768127,0.859956,66.45045471191406,24.4609
