Date:,Thu Sep  5 14:07:59 2024
Time:,1725559679.3756595
t1,v1,t2,v2,t3,v3,t4,v4,t9,T
0.2906949520111084,-0.006284,0.5979647636413574,-0.0063866,0.8947381973266602,0.1822327,1.212177038192749,0.0099496,1.2378699779510498,21.5625
1.5559682846069336,-0.0062838,1.8772108554840088,-0.0063871,2.168487548828125,0.1822314,2.486772298812866,0.0099505,2.5050578117370605,21.5234
2.832646369934082,-0.0062846,3.1354153156280518,-0.006388,3.4373209476470947,0.1822301,3.7438976764678955,0.0099494,3.764129638671875,21.5547
4.065673351287842,-0.0062841,4.3632729053497314,-0.0063872,4.659973621368408,0.182233,4.977599859237671,0.0099499,4.997881174087524,21.5625
5.356505870819092,-0.0062838,5.678346633911133,-0.0063861,5.979480743408203,0.182229,6.285295486450195,0.0099497,6.32096266746521,21.5625
6.638678312301636,-0.0062838,6.940073013305664,-0.006387,7.241988897323608,0.1822289,7.5389745235443115,0.0099497,7.570253372192383,21.5391
7.870901584625244,-0.0062847,8.188268661499023,-0.0063867,8.493191480636597,0.1822294,8.795861721038818,0.00995,8.827298641204834,21.6172
9.150269031524658,-0.0062844,9.442583799362183,-0.0063862,9.75036096572876,0.1822297,10.060245037078857,0.0099502,10.072168350219727,21.5781
10.367741346359253,-0.0062849,10.695494174957275,-0.0063884,10.997740745544434,0.1822317,11.303349494934082,0.0099501,11.31896686553955,21.6328
11.640936613082886,-0.0062845,11.938795804977417,-0.006388,12.25630259513855,0.18223,12.563451051712036,0.0099495,12.58892560005188,21.5391
12.901563882827759,-0.0062846,13.208875179290771,-0.0063877,13.500775814056396,0.1822311,13.807680606842041,0.0099496,13.837891340255737,21.5859
14.134187936782837,-0.0062842,14.460641384124756,-0.0063872,14.765576362609863,0.1822317,15.09360671043396,0.00995,15.109225273132324,21.5625
15.432290315628052,-0.0062845,15.744909286499023,-0.0063869,16.046480894088745,0.1822314,16.357227087020874,0.0099503,16.388428688049316,21.5781
16.703198432922363,-0.0062836,17.019917249679565,-0.0063869,17.34458088874817,0.1822355,17.670946836471558,0.0099502,17.686563730239868,21.5781
18.004034280776978,-0.006284,18.301713466644287,-0.0063872,18.609901189804077,0.1822348,18.921937704086304,0.0099501,18.95286726951599,21.6328
19.240373611450195,-0.0062847,19.54739999771118,-0.0063867,19.84425711631775,0.182232,20.156803131103516,0.0099501,20.18272304534912,21.6094
20.47417378425598,-0.0062836,20.774670600891113,-0.0063871,21.087000608444214,0.1822312,21.384042501449585,0.0099491,21.41497015953064,21.5
21.72838830947876,-0.0062842,22.030383110046387,-0.0063862,22.337318420410156,0.1822327,22.63987898826599,0.0099495,22.65877389907837,21.6172
22.945838689804077,-0.0062852,23.2489013671875,-0.0063882,23.578813791275024,0.182232,23.8812358379364,0.0099503,23.89683699607849,21.5625
24.22526717185974,-0.0062845,24.537848472595215,-0.0063862,24.834272861480713,0.1822318,25.141011238098145,0.0099501,25.18148112297058,21.6328
25.50340986251831,-0.0062837,25.830599069595337,-0.006387,26.12658977508545,0.1822316,26.441479921340942,0.0099497,26.488348722457886,21.5781
26.801877975463867,-0.0062849,27.134703636169434,-0.0063872,27.43542456626892,0.1822373,27.7372727394104,0.0099503,27.7529034614563,21.5781
28.049169301986694,-0.0062836,28.358462810516357,-0.0063871,28.664594173431396,0.1822323,28.966466426849365,0.0099513,29.01780939102173,21.6719
