seconds_pre_waveform_query	1728586898.538301
seconds_post_waveform_query	1728586898.586729
xzero1	0
xmultiplier1	9.9e+37
yzero1	-4.25201762205e+47
ymultiplier1	9.9e+37
transfer_duty_cycle	0.9157023005035592
xzero2	0
xmultiplier2	1e-05
yzero2	0.32
ymultiplier2	0.08
xzero3	0
xmultiplier3	1e-05
yzero3	-0.0
ymultiplier3	0.04
xzero4	0
xmultiplier4	1e-05
yzero4	1.2000000000000002
ymultiplier4	0.2
DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2], d[3], d[4] )\n\nxlabels = 'x'\nylabels = ( 'y1', 'y2', 'y3', 'y4' )\n"
self.number_history	0
self.text_log_note	'Note'

x	y1	y2	y3	y4
0.0016500000000000002	_	-2.88	-0.8403	-5.2
0.0016600000000000002	_	-2.96	-0.72	-5.2
0.00167	_	-2.8	-0.8403	-5.0
0.00168	_	-2.8	-0.7603	-5.0
0.00169	_	-2.88	-0.72	-5.2
0.0017000000000000001	_	-2.8	-0.7603	-5.0
0.0017100000000000001	_	-2.88	-0.72	-5.2
0.0017200000000000002	_	-2.8	-0.72	-5.0
0.0017300000000000002	_	-2.88	-0.7603	-5.2
0.0017400000000000002	_	-2.8	-0.7603	-5.2
0.00175	_	-2.88	-0.72	-5.0
0.00176	_	-2.8	-0.7603	-5.0
0.00177	_	-2.88	-0.72	-5.2
0.0017800000000000001	_	-2.8	-0.7603	-5.0
0.0017900000000000001	_	-2.88	-0.72	-5.2
0.0018000000000000002	_	-2.8	-0.7603	-5.0
0.0018100000000000002	_	-2.88	-0.72	-5.2
0.0018200000000000002	_	-2.8	-0.72	-5.2
0.0018300000000000002	_	-2.88	-0.7603	-5.0
0.00184	_	-2.8	-0.7603	-5.0
0.00185	_	-2.88	-0.72	-5.2
0.00186	_	-2.88	-0.72	-5.2
0.0018700000000000001	_	-2.64	-0.7603	-5.0
0.0018800000000000002	_	-2.88	-0.7603	-5.0
0.0018900000000000002	_	-2.64	-0.68	-5.2
0.0019000000000000002	_	-2.8	-0.7603	-5.2
0.0019100000000000002	_	-2.64	-0.68	-5.0
0.0019200000000000003	_	-2.72	-0.7603	-5.2
0.00193	_	-2.64	-0.68	-5.0
0.00194	_	-2.64	-0.7603	-5.2
0.0019500000000000001	_	-2.72	-0.68	-5.0
0.0019600000000000004	_	-2.64	-0.7603	-5.0
0.00197	_	-2.72	-0.68	-5.2
0.00198	_	-2.72	-0.7603	-5.0
0.00199	_	-2.64	-0.68	-5.2
0.002	_	-2.72	-0.68	-5.2
0.00201	_	-2.64	-0.7603	-5.0
0.00202	_	-2.64	-0.68	-5.0
0.00203	_	-2.72	-0.7603	-5.2
0.00204	_	-2.72	-0.72	-5.0
0.00205	_	-2.64	-0.68	-5.2
0.00206	_	-2.64	-0.68	-5.2
0.0020700000000000002	_	-2.72	-0.72	-5.0
0.0020800000000000003	_	-2.72	-0.68	-5.0
0.0020900000000000003	_	-2.56	-0.72	-5.2
0.0021000000000000003	_	-2.72	-0.68	-5.0
0.0021100000000000003	_	-2.56	-0.72	-5.2
0.0021200000000000004	_	-2.56	-0.72	-5.0
0.0021300000000000004	_	-2.64	-0.68	-5.2
0.00214	_	-2.56	-0.68	-5.2
0.00215	_	-2.64	-0.72	-5.0
0.00216	_	-2.56	-0.68	-5.0
0.00217	_	-2.64	-0.72	-5.2
0.00218	_	-2.56	-0.68	-5.0
0.00219	_	-2.64	-0.72	-5.2
0.0022	_	-2.56	-0.68	-5.0
0.00221	_	-2.64	-0.72	-5.2
0.00222	_	-2.56	-0.72	-5.0
0.00223	_	-2.64	-0.68	-5.2
0.0022400000000000002	_	-2.56	-0.72	-5.0
0.0022500000000000003	_	-2.64	-0.68	-5.2
0.0022600000000000003	_	-2.56	-0.68	-5.2
0.0022700000000000003	_	-2.64	-0.72	-5.0
0.0022800000000000003	_	-2.56	-0.72	-5.2
0.0022900000000000004	_	-2.64	-0.68	-5.0
