Date:,Wed Sep 18 15:39:27 2024
Time:,1726688367.0493138
t1,v1,t2,v2,t3,v3,t4,v4,t5,v5,t6,v6,t7,v7,t9,T
0.4303901195526123,-0.0595437,0.9453651905059814,-0.060935,1.556645154953003,1.76896,1.9893748760223389,0.099587,2.5988240242004395,0.415903,2.9093716144561768,0.414042,3.2114861011505127,0.832481,3.2417988777160645,16.9141
3.728205919265747,-0.0589562,4.034975290298462,-0.0604634,4.651301622390747,1.75779,5.121808290481567,0.0995865,5.754107713699341,0.412643,6.061966419219971,0.410699,6.369457244873047,0.827213,6.431060552597046,16.1563
6.90585994720459,-0.0583809,7.232338905334473,-0.0599687,7.8523268699646,1.746051,8.320007085800171,0.0995871,8.944051027297974,0.409272,9.240576028823853,0.407242,9.57822060585022,0.821734,9.614052534103394,15.2109
10.084551334381104,-0.0577946,10.417135000228882,-0.0594572,11.026564598083496,1.733967,11.496045351028442,0.0995879,12.101104497909546,0.405843,12.403397560119629,0.403736,12.72264838218689,0.816204,12.766714334487915,14.4531
13.23900818824768,-0.0572059,13.564893007278442,-0.0589433,14.17528223991394,1.721842,14.636037111282349,0.0995872,15.241486072540283,0.402401,15.558164119720459,0.400195,15.856346130371094,0.810516,15.903243780136108,13.4922
16.379143953323364,-0.0566109,16.70100426673889,-0.0584216,17.30061984062195,1.709461,17.76955223083496,0.099587,18.37504005432129,0.398891,18.6722469329834,0.396633,18.98396396636963,0.804822,19.01520586013794,12.625
19.49599814414978,-0.0560181,19.818267345428467,-0.0578993,20.41678476333618,1.69699,20.88039541244507,0.0995879,21.49596881866455,0.395383,21.80320906639099,0.393054,22.094995260238647,0.799009,22.12601399421692,11.7031
22.61462926864624,-0.0554205,22.922597885131836,-0.0573696,23.548227548599243,1.68426,24.022023916244507,0.0995873,24.63287615776062,0.391807,24.92445397377014,0.389396,25.24204158782959,0.792995,25.282804012298584,10.6563
25.746439933776855,-0.0548165,26.047237396240234,-0.0568274,26.665736198425293,1.671405,27.118783712387085,0.0995862,27.75041961669922,0.388226,28.050788402557373,0.385748,28.347840070724487,0.786999,28.394709825515747,9.7813
28.86467409133911,-0.0542141,29.187235116958618,-0.0562894,29.7926082611084,1.658579,30.256444692611694,0.0995866,30.870221853256226,0.38474,31.17482876777649,0.382244,31.467369318008423,0.781286,31.513947248458862,8.7188
32.00415253639221,-0.0536452,32.31751322746277,-0.0557688,32.944523334503174,1.646398,33.41294836997986,0.0995867,34.0079231262207,0.38134,34.3245849609375,0.378786,34.61949324607849,0.775521,34.66610050201416,7.7891
35.1401252746582,-0.0530699,35.45602297782898,-0.0552429,36.08271145820618,1.633667,36.56657099723816,0.0995874,37.16804766654968,0.377736,37.47948217391968,0.375106,37.81291961669922,0.769301,37.84431481361389,6.7891
38.322712659835815,-0.0524575,38.643744707107544,-0.0546803,39.26326036453247,1.62017,39.73142957687378,0.0995866,40.32723951339722,0.374023,40.64169883728027,0.371348,40.9791841506958,0.762999,41.00959897041321,5.8203
41.478936433792114,-0.0518435,41.80708432197571,-0.0541151,42.432148933410645,1.606606,42.89486217498779,0.0995868,43.50103497505188,0.370286,43.8022096157074,0.367563,44.114585161209106,0.756686,44.145840883255005,4.7266
44.614985704422,-0.0512371,44.94815969467163,-0.0535545,45.598822832107544,1.592883,46.056233644485474,0.0995876,46.687286615371704,0.36651,46.97992539405823,0.363723,47.297335624694824,0.750198,47.3230299949646,3.5234
47.807724952697754,-0.0506173,48.119935750961304,-0.0529788,48.77563190460205,1.578933,49.247501611709595,0.0995868,49.85189414024353,0.362691,50.16494536399841,0.35986,50.49166679382324,0.743615,50.52202296257019,2.3906
