seconds_pre_waveform_query	1729620071.0866168
seconds_post_waveform_query	1729620071.102405
xzero1	0
xmultiplier1	5e-05
yzero1	2.18
ymultiplier1	0.02
transfer_duty_cycle	1.0
xzero2	0
xmultiplier2	5e-05
yzero2	0.32
ymultiplier2	0.08
xzero3	0
xmultiplier3	5e-05
yzero3	-0.0
ymultiplier3	0.04
xzero4	0
xmultiplier4	5e-05
yzero4	-0.0
ymultiplier4	0.4
DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2], d[3], d[4] )\n\nxlabels = 'x'\nylabels = ( 'y1', 'y2', 'y3', 'y4' )\n"
self.number_history	0
self.text_log_note	'Note'

x	y1	y2	y3	y4
0.0	0.01953	-0.8	0.04	-5.2
5e-05	0.03906	-0.6396	0.0	-5.2
0.0001	0.01953	-0.7197	0.04	-5.2
0.00015000000000000001	0.0586	-0.8	0.0	-5.2
0.0002	0.01953	-0.8	0.04	-5.2
0.00025	0.0586	-0.7197	0.0	-5.2
0.00030000000000000003	0.01953	-0.8	0.04	-5.2
0.00035	0.03906	-0.7197	0.0	-5.598
0.0004	0.01953	-0.7197	0.04	-5.2
0.00045000000000000004	0.0586	-0.8	0.0	-5.598
0.0005	0.01953	-0.8	0.04	-5.2
0.00055	0.0586	-0.7197	0.0	-5.598
0.0006000000000000001	0.01953	-0.7197	0.0	-5.2
0.0006500000000000001	0.0586	-0.8	0.04	-5.598
0.0007	0.01953	-0.7197	0.04	-5.2
0.00075	0.0586	-0.8	0.0	-5.2
0.0008	0.03906	-0.8	0.04	-5.2
0.0008500000000000001	0.01953	-0.7197	0.0	-5.2
0.0009000000000000001	0.01953	-0.8	0.04	-5.2
0.00095	0.03906	-0.7197	0.0	-5.598
0.001	0.01953	-0.7197	0.04	-5.2
0.0010500000000000002	0.03906	-0.8	0.0	-5.2
0.0011	0.03906	-0.7197	0.04	-5.2
0.00115	0.01953	-0.8	0.0	-5.2
0.0012000000000000001	0.01953	-0.7197	0.0	-5.2
0.00125	0.0586	-0.88	0.04	-5.2
0.0013000000000000002	0.01953	-0.88	0.04	-5.2
0.00135	0.0586	-0.7197	0.0	-5.598
