seconds_pre_waveform_query	1729623915.8148422
seconds_post_waveform_query	1729623915.8617146
xzero1	0
xmultiplier1	5e-05
yzero1	0.864
ymultiplier1	0.008
transfer_duty_cycle	1.0
xzero2	0
xmultiplier2	5e-05
yzero2	0.32
ymultiplier2	0.08
xzero3	0
xmultiplier3	5e-05
yzero3	-0.74
ymultiplier3	0.02
xzero4	0
xmultiplier4	5e-05
yzero4	-0.0
ymultiplier4	0.388
/sillyscope/VISA/Device	'USB0::0x1AB1::0x04CE::DS1ZA204719905::INSTR'
/sillyscope/Acquire/Iterations	0
/sillyscope/Acquire/Trigger	False
/sillyscope/Acquire/Get_First_Header	True
/sillyscope/Acquire/Get_All_Headers	True
/sillyscope/Acquire/Discard_Identical	False
/sillyscope/Acquire/RIGOL1000BDE/Trigger_Delay	0.05
/sillyscope/Acquire/RIGOL1000BDE/Unlock	True
/sillyscope/Acquire/RIGOL1000Z/Always_Clear	True
DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2], d[3], d[4] )\n\nxlabels = 'x'\nylabels = ( 'y1', 'y2', 'y3', 'y4' )\n"
self.number_history	0
self.text_log_note	'Note'

x	y1	y2	y3	y4
0.0014500000000000001	1.576	2.32	0.84	-5.043
0.0015	1.584	2.4	0.8	-5.43
0.0015500000000000002	1.576	2.32	0.8203	-5.043
0.0016	1.584	2.32	0.8203	-5.43
0.00165	1.576	2.4	0.8	-5.043
0.0017000000000000001	1.584	2.4	0.8	-5.43
0.00175	1.576	2.32	0.8203	-5.043
0.0018000000000000002	1.576	2.32	0.8203	-5.43
0.00185	1.584	2.4	0.8	-5.043
0.0019	1.584	2.32	0.8	-5.043
0.0019500000000000001	1.576	2.4	0.8203	-5.43
0.002	1.576	2.32	0.8	-5.43
0.00205	1.584	2.4	0.8203	-5.043
0.0021000000000000003	1.584	2.32	0.8203	-5.43
0.00215	1.576	2.4	0.76	-5.043
0.0022	1.584	2.4	0.8203	-5.043
0.0022500000000000003	1.576	2.32	0.7803	-5.43
0.0023	1.576	2.32	0.7803	-5.43
0.00235	1.584	2.4	0.8203	-5.043
0.0024000000000000002	1.576	2.4	0.8203	-5.43
0.00245	1.584	2.32	0.76	-5.043
0.0025	1.584	2.4	0.76	-5.043
0.00255	1.576	2.24	0.8203	-5.43
0.0026000000000000003	1.584	2.4	0.76	-5.43
0.00265	1.576	2.24	0.8203	-5.043
0.0027	1.584	2.24	0.8203	-5.043
0.0027500000000000003	1.576	2.4	0.76	-5.43
0.0028	1.584	2.24	0.76	-5.43
0.00285	1.568	2.32	0.8203	-5.043
0.0029000000000000002	1.568	2.24	0.7803	-5.43
0.00295	1.584	2.32	0.76	-5.043
0.003	1.576	2.24	0.7803	-5.43
0.00305	1.568	2.32	0.76	-5.043
0.0031000000000000003	1.568	2.24	0.7803	-5.43
0.00315	1.576	2.32	0.76	-5.043
0.0032	1.568	2.24	0.7803	-5.43
0.0032500000000000003	1.576	2.32	0.76	-5.043
0.0033	1.568	2.24	0.7803	-5.43
0.00335	1.576	2.32	0.74	-5.043
0.0034000000000000002	1.568	2.32	0.7803	-5.43
0.0034500000000000004	1.576	2.24	0.74	-5.043
0.0035	1.576	2.24	0.7803	-5.043
0.00355	1.568	2.32	0.74	-5.43
0.0036000000000000003	1.568	2.32	0.7803	-5.43
0.00365	1.576	2.24	0.74	-5.043
0.0037	1.568	2.32	0.74	-5.43
0.0037500000000000003	1.576	2.16	0.7803	-5.043
0.0038	1.576	2.24	0.74	-5.43
0.00385	1.568	2.32	0.7803	-5.043
0.0039000000000000003	1.576	2.08	0.74	-5.43
0.00395	1.561	2.32	0.7803	-5.043
0.004	1.576	2.32	0.76	-5.43
0.00405	1.561	2.08	0.74	-5.043
0.0041	1.568	2.08	0.74	-5.043
0.00415	1.561	2.32	0.76	-5.43
0.004200000000000001	1.561	2.32	0.74	-5.043
0.00425	1.568	2.08	0.76	-5.43
0.0043	1.568	2.32	0.76	-5.043
0.004350000000000001	1.561	2.08	0.7197	-5.43
0.0044	1.568	2.08	0.76	-5.43
0.00445	1.561	2.24	0.7	-5.043
0.0045000000000000005	1.568	2.08	0.76	-5.43
0.00455	1.553	2.16	0.7	-5.043
0.0046	1.561	2.08	0.7197	-5.43
0.0046500000000000005	1.553	2.16	0.7	-5.043
0.0047	1.553	2.08	0.7197	-5.043
0.00475	1.561	2.16	0.7	-5.43
0.0048000000000000004	1.561	2.08	0.7197	-5.43
0.00485	1.544	2.16	0.6797	-5.043
0.0049	1.544	2.16	0.6797	-5.43
0.00495	1.544	2.08	0.7197	-5.043
0.005	1.544	2.16	0.7	-5.043
0.005050000000000001	1.536	2.08	0.6797	-5.43
0.0051	1.544	2.08	0.7	-5.043
0.00515	1.527	2.16	0.6396	-5.43
0.005200000000000001	1.536	2.16	0.7	-5.43
0.00525	1.527	2.08	0.6396	-5.043
0.0053	1.536	2.16	0.6396	-5.43
0.005350000000000001	1.52	2.08	0.7	-5.043
0.0054	1.527	2.16	0.66	-5.43
0.00545	1.52	2.08	0.62	-5.043
0.0055000000000000005	1.527	2.08	0.66	-5.43
0.00555	1.512	2.16	0.5996	-5.043
0.0056	1.512	2.16	0.6396	-5.43
0.0056500000000000005	1.52	2.0	0.58	-5.043
0.0057	1.52	2.16	0.6396	-5.043
0.00575	1.504	2.08	0.58	-5.43
0.0058000000000000005	1.512	2.16	0.6396	-5.43
0.00585	1.496	2.08	0.5596	-5.043
0.0059	1.496	2.16	0.5996	-5.43
0.00595	1.496	2.0	0.54	-5.043
0.006	1.496	2.0	0.58	-5.043
0.006050000000000001	1.48	2.16	0.5	-5.43
0.0061	1.488	2.0	0.58	-5.43
0.00615	1.473	2.08	0.5	-5.043
0.006200000000000001	1.48	2.0	0.54	-5.43
0.00625	1.464	2.08	0.4805	-5.043
0.0063	1.473	2.0	0.5205	-5.43
0.006350000000000001	1.456	2.08	0.4404	-5.043
0.0064	1.464	2.0	0.5205	-5.43
0.00645	1.448	2.08	0.42	-5.043
0.006500000000000001	1.448	2.08	0.4805	-5.43
0.00655	1.432	2.0	0.38	-5.043
0.0066	1.439	2.0	0.46	-5.43
0.0066500000000000005	1.424	2.08	0.3604	-5.043
0.0067	1.432	2.0	0.42	-5.43
0.00675	1.408	2.08	0.3203	-5.043
0.0068000000000000005	1.416	2.0	0.4004	-5.43
0.00685	1.4	2.08	0.2803	-5.043
0.006900000000000001	1.4	2.0	0.3604	-5.43
0.0069500000000000004	1.384	2.08	0.2598	-5.043
0.007	1.393	2.0	0.3203	-5.43
0.007050000000000001	1.368	2.08	0.2002	-5.043
0.0071	1.376	2.0	0.2803	-5.43
0.00715	1.359	2.08	0.1602	-5.043
0.007200000000000001	1.368	2.0	0.2397	-5.43
0.00725	1.344	2.08	0.1001	-5.043
0.0073	1.352	2.08	0.2197	-5.43
0.007350000000000001	1.328	2.0	0.0801	-5.043
