Date:,Thu Sep  5 15:28:04 2024
Time:,1725564484.2632542
t1,v1,t2,v2,t3,v3,t4,v4,t5,v5,t6,v6,t7,v7,t8,v8,t9,T
0.4520862102508545,-0.0635987,1.0298247337341309,-0.0645944,1.6416394710540771,1.84641,2.0939550399780273,0.0995962,2.703474760055542,0.446944,3.005796194076538,0.445948,3.333315849304199,0.856273,3.6412155628204346,0.709007,3.688081979751587,23.2969
4.164694309234619,-0.0635965,4.469708204269409,-0.0646004,5.087662696838379,1.846436,5.54648756980896,0.0995945,6.170566558837891,0.446955,6.49335503578186,0.445955,6.810312271118164,0.856283,7.133559226989746,0.911309,7.164807558059692,23.2969
7.676570177078247,-0.0636029,7.999508857727051,-0.064601,8.619839429855347,1.846476,9.077133893966675,0.0995955,9.701015949249268,0.44697,10.029703855514526,0.445972,10.384252548217773,0.856307,10.731486558914185,0.831757,10.767282962799072,23.3516
11.248006343841553,-0.0636048,11.564788341522217,-0.0646023,12.185775518417358,1.846515,12.649264812469482,0.0995956,13.25416898727417,0.446986,13.561578035354614,0.445995,13.862960815429688,0.856328,14.165676355361938,0.744165,14.196653842926025,23.3516
14.676197290420532,-0.06361,14.98790693283081,-0.0646066,15.621899127960205,1.84659,16.073126792907715,0.0995954,16.7112238407135,0.447005,17.030447959899902,0.446006,17.33776545524597,0.85637,17.670082569122314,0.867894,17.700257539749146,23.3281
18.18349552154541,-0.0636117,18.490485906600952,-0.0646065,19.12169647216797,1.846641,19.581866025924683,0.0995946,20.19187831878662,0.447025,20.49847960472107,0.446028,20.801450967788696,0.856394,21.098613500595093,0.811205,21.13424849510193,23.3516
21.610796451568604,-0.0636198,21.92743229866028,-0.0646098,22.546780824661255,1.84673,23.00609827041626,0.0995958,23.620169401168823,0.447047,23.916170358657837,0.44605,24.228644609451294,0.856416,24.538752555847168,0.850508,24.60028910636902,23.2969
25.078897953033447,-0.0636194,25.406713485717773,-0.0646122,26.022464990615845,1.846788,26.49172353744507,0.0995955,27.11678433418274,0.447069,27.438860654830933,0.446074,27.76144003868103,0.856458,28.077733516693115,0.763122,28.103433847427368,23.3984
28.576899766921997,-0.0636226,28.90692138671875,-0.0646176,29.520631551742554,1.846875,29.98962116241455,0.0995962,30.607116222381592,0.447099,30.90537166595459,0.446103,31.230297803878784,0.856503,31.544103622436523,0.818974,31.56963324546814,23.2813
32.05858325958252,-0.0636272,32.37076950073242,-0.0646231,32.99171996116638,1.846956,33.45613622665405,0.0995956,34.081871509552,0.447123,34.40412259101868,0.446129,34.72697043418884,0.856535,35.03921055793762,0.921746,35.08061766624451,23.3203
35.55919909477234,-0.0636359,35.88126492500305,-0.0646267,36.49377393722534,1.847057,36.96148920059204,0.0995966,37.58251905441284,0.44715,37.90113592147827,0.446159,38.22588610649109,0.856594,38.54260993003845,0.872239,38.594226360321045,23.3984
39.071061849594116,-0.0636396,39.38880801200867,-0.0646312,40.01903533935547,1.847147,40.49923133850098,0.0995954,41.1229567527771,0.447179,41.438955307006836,0.44619,41.76497435569763,0.856625,42.11611533164978,0.760166,42.17199468612671,23.4141
42.644519567489624,-0.063649,42.96658778190613,-0.0646343,43.579737424850464,1.84725,44.04147219657898,0.0995962,44.66137886047363,0.447214,44.974801540374756,0.446223,45.30731391906738,0.856673,45.624377965927124,0.917571,45.66320252418518,23.3438
46.15281081199646,-0.0636502,46.47564911842346,-0.064639,47.08990168571472,1.84736,47.58919930458069,0.099596,48.21211838722229,0.447244,48.527469635009766,0.446253,48.85252928733826,0.856717,49.16089844703674,0.910673,49.21783971786499,23.3906
49.701980113983154,-0.0636566,50.01650643348694,-0.0646428,50.64120078086853,1.847469,51.121057748794556,0.0995957,51.7430739402771,0.447279,52.069185733795166,0.446286,52.381587982177734,0.856768,52.6973180770874,0.901953,52.74388813972473,23.4219
53.22390842437744,-0.0636598,53.549920082092285,-0.0646476,54.20570635795593,1.847591,54.68584203720093,0.0995967,55.308204650878906,0.447314,55.63613486289978,0.446327,55.950664043426514,0.856831,56.27408528327942,0.904013,56.31533336639404,23.4141
56.78748679161072,-0.0636696,57.11767292022705,-0.0646507,57.74234390258789,1.847727,58.21506381034851,0.0995959,58.842209339141846,0.447353,59.16488432884216,0.446369,59.48288941383362,0.856888,59.79923605918884,0.834185,59.846102714538574,23.375
60.32179808616638,-0.0636772,60.646090269088745,-0.0646595,61.27611804008484,1.847847,61.765114307403564,0.0995945,62.38731789588928,0.447395,62.70953059196472,0.446407,63.03791642189026,0.856947,63.381720542907715,0.768833,63.42210650444031,23.3516
63.89495015144348,-0.0636836,64.20829224586487,-0.0646631,64.83857202529907,1.847989,65.29587507247925,0.0995952,65.92352867126465,0.447429,66.2461769580841,0.446453,66.59269571304321,0.857009,66.9155285358429,0.746632,66.9673981666565,23.4531
67.43639397621155,-0.0636919,67.76400399208069,-0.0646699,68.38148498535156,1.848123,68.8555850982666,0.0995963,69.47067880630493,0.447471,69.78342127799988,0.446494,70.10920143127441,0.857073,70.4372866153717,0.778472,70.46749687194824,23.4375
70.95246481895447,-0.0636984,71.27545094490051,-0.0646764,71.90484476089478,1.848258,72.37811756134033,0.0995963,72.9974045753479,0.447513,73.31586766242981,0.446539,73.62676239013672,0.857123,73.94872665405273,0.877458,73.97442364692688,23.4531
74.45413088798523,-0.0637072,74.7806704044342,-0.0646818,75.40716481208801,1.848399,75.8715386390686,0.0995957,76.48079466819763,0.447551,76.80634117126465,0.446579,77.11778450012207,0.857195,77.42022275924683,0.896376,77.45059895515442,23.5078
77.92972493171692,-0.0637133,78.25213670730591,-0.0646884,78.88765168190002,1.848554,79.34656095504761,0.0995962,79.96270322799683,0.447598,80.26497077941895,0.446629,80.56152582168579,0.857264,80.86276316642761,0.75205,80.89368534088135,23.5469
81.37939167022705,-0.063722,81.70745277404785,-0.0646966,82.32250356674194,1.848691,82.78537917137146,0.0995958,83.38865160942078,0.447639,83.70112800598145,0.446672,84.03771948814392,0.85733,84.35064172744751,0.89241,84.38626384735107,23.4844
84.86494374275208,-0.0637324,85.18238139152527,-0.0646997,85.80764770507812,1.848864,86.267742395401,0.0995956,86.87678956985474,0.447686,87.17799782752991,0.446719,87.48526430130005,0.857404,87.7928876876831,0.891231,87.83889245986938,23.5313
88.33498501777649,-0.0637402,88.64568400382996,-0.0647068,89.27759218215942,1.849013,89.7439432144165,0.0995958,90.35938000679016,0.447734,90.68717432022095,0.446769,91.00505113601685,0.857467,91.32759976387024,0.86048,91.36814761161804,23.4844
91.84280014038086,-0.0637444,92.16829323768616,-0.0647183,92.79797101020813,1.849182,93.25650262832642,0.0995955,93.86616826057434,0.44778,94.16352486610413,0.446817,94.48091673851013,0.857551,94.80827188491821,0.764278,94.8414044380188,23.5234
95.31916880607605,-0.0637544,95.63715624809265,-0.0647225,96.2465238571167,1.84935,96.70365166664124,0.0995958,97.31939721107483,0.447831,97.62245512008667,0.446871,97.92317342758179,0.857623,98.23127150535583,0.903914,98.26165819168091,23.5234
98.7359607219696,-0.0637681,99.06292700767517,-0.0647287,99.68218445777893,1.849515,100.15083050727844,0.0995957,100.76603674888611,0.44788,101.07859897613525,0.446922,101.3952476978302,0.857692,101.70678234100342,0.822545,101.7534396648407,23.5938
102.21679520606995,-0.0637738,102.53488850593567,-0.0647392,103.16580843925476,1.849687,103.62968587875366,0.0995964,104.24366521835327,0.447937,104.5493094921112,0.446979,104.88180136680603,0.857775,105.19952344894409,0.803926,105.2354097366333,23.5547
105.71319317817688,-0.0637847,106.03102970123291,-0.0647484,106.65151762962341,1.849866,107.11512231826782,0.0995952,107.72994184494019,0.44799,108.05986905097961,0.447029,108.40852189064026,0.857856,108.72798347473145,0.885656,108.75934958457947,23.5234
109.23725914955139,-0.0637949,109.55242085456848,-0.0647578,110.18276286125183,1.850037,110.65105414390564,0.0995944,111.27425146102905,0.448046,111.59266519546509,0.447085,111.90959239006042,0.85794,112.25769543647766,0.850864,112.31911492347717,23.6328
112.78206038475037,-0.0638065,113.10396218299866,-0.0647632,113.71869468688965,1.850233,114.17661023139954,0.0995957,114.80033874511719,0.448107,115.12295770645142,0.447145,115.4459216594696,0.85803,115.76181030273438,0.812212,115.7930805683136,23.6172
116.27335476875305,-0.0638132,116.59180855751038,-0.0647725,117.21191906929016,1.850426,117.68060040473938,0.0995963,118.30234551429749,0.448162,118.60225439071655,0.447206,118.94317245483398,0.858104,119.24062418937683,0.76877,119.28648543357849,23.5938
119.75473070144653,-0.0638221,120.07670664787292,-0.0647813,120.7024610042572,1.850616,121.16161346435547,0.0995962,121.78726863861084,0.448219,122.09608268737793,0.447262,122.41426157951355,0.858192,122.75743675231934,0.739917,122.80346202850342,23.6641
123.2723605632782,-0.0638341,123.6000485420227,-0.0647907,124.2089946269989,1.850796,124.67278242111206,0.099595,125.29935097694397,0.448272,125.63225936889648,0.447322,125.94523310661316,0.858272,126.26343750953674,0.856492,126.29921197891235,23.6797
126.79370403289795,-0.0638448,127.10610175132751,-0.0647967,127.73171615600586,1.851019,128.19337344169617,0.0995957,128.81986784934998,0.44833,129.17357277870178,0.447395,129.49097180366516,0.858358,129.8032307624817,0.853685,129.85001063346863,23.6172
130.32312560081482,-0.0638612,130.6449179649353,-0.0648081,131.29665422439575,1.851198,131.75396060943604,0.0995954,132.3897578716278,0.448391,132.69619631767273,0.447454,133.0221643447876,0.858454,133.32892608642578,0.886382,133.36464834213257,23.6172
133.83209133148193,-0.063864,134.16037607192993,-0.0648156,134.81752514839172,1.851405,135.28140950202942,0.0995949,135.90803241729736,0.448449,136.22087383270264,0.447512,136.54260921478271,0.858537,136.85533738136292,0.75903,136.9098002910614,23.7266
137.38992404937744,-0.0638805,137.7162733078003,-0.0648268,138.35772848129272,1.851594,138.8244276046753,0.0995954,139.4451777935028,0.448511,139.76864528656006,0.447573,140.0910084247589,0.858632,140.44554162025452,0.739624,140.497083902359,23.6172
140.98818159103394,-0.0638901,141.31061172485352,-0.0648345,141.93001413345337,1.851823,142.39386343955994,0.099595,143.00282859802246,0.448574,143.33298349380493,0.447639,143.65100860595703,0.858735,143.97169613838196,0.910636,144.00267672538757,23.7031
144.48314666748047,-0.0639021,144.8056492805481,-0.0648466,145.4155879020691,1.852047,145.88451671600342,0.0995953,146.4981873035431,0.448635,146.80003905296326,0.447697,147.10715627670288,0.858826,147.42914509773254,0.77295,147.48526287078857,23.7109
147.95352244377136,-0.0639105,148.26662230491638,-0.0648536,148.87680101394653,1.852231,149.35082483291626,0.0995953,149.96739864349365,0.448703,150.27048754692078,0.44777,150.56687951087952,0.858928,150.89551520347595,0.743302,150.92678332328796,23.7891
151.4102921485901,-0.0639242,151.7276747226715,-0.0648632,152.3457314968109,1.852461,152.8042232990265,0.0995953,153.44047284126282,0.448765,153.76350569725037,0.447837,154.10725736618042,0.859032,154.41030144691467,0.851363,154.4412772655487,23.7734
154.92125582695007,-0.0639324,155.2423746585846,-0.064873,155.8542239665985,1.852676,156.31357312202454,0.0995952,156.92232656478882,0.448832,157.21366262435913,0.447903,157.52529549598694,0.859123,157.86704778671265,0.826503,157.89729833602905,23.7969
158.37928080558777,-0.0639523,158.69698023796082,-0.0648829,159.31570744514465,1.85289,159.7795181274414,0.0995954,160.38900446891785,0.448896,160.701664686203,0.447969,161.02691006660461,0.859207,161.34889912605286,0.920685,161.39949202537537,23.7891
