Date:,Thu Sep  5 14:43:41 2024
Time:,1725561821.2028732
t1,v1,t2,v2,t3,v3,t4,v4,t5,v5,t6,v6,t7,v7,t9,T
0.4355466365814209,-0.0626442,0.7649674415588379,-0.0639101,1.3713014125823975,1.831086,1.8269357681274414,0.0995935,2.4566805362701416,0.442464,2.7780888080596924,0.441196,3.0900025367736816,0.849585,3.14144229888916,21.9375
3.625901460647583,-0.0626629,3.931199312210083,-0.0639256,4.5640504360198975,1.831389,5.0258259773254395,0.0995921,5.653851509094238,0.442547,5.970390319824219,0.441285,6.281224727630615,0.849697,6.327903509140015,22.0078
6.805683851242065,-0.06268,7.123723030090332,-0.0639371,7.724931240081787,1.831615,8.195929050445557,0.0995929,8.811615943908691,0.44261,9.134033918380737,0.44135,9.446574687957764,0.849788,9.493469953536987,21.9688
9.970016479492188,-0.0626885,10.28212571144104,-0.0639442,10.903332471847534,1.831787,11.372516393661499,0.0995931,11.97560453414917,0.442653,12.28028655052185,0.441402,12.580545902252197,0.849848,12.616243839263916,21.9922
13.095192670822144,-0.0627002,13.41431975364685,-0.0639538,14.029253005981445,1.831931,14.493566989898682,0.0995914,15.09415888786316,0.442695,15.417243957519531,0.441437,15.740159749984741,0.849919,15.79162335395813,21.9844
16.25545048713684,-0.0627068,16.570908784866333,-0.0639573,17.18643593788147,1.832065,17.655606985092163,0.099592,18.260173320770264,0.442732,18.567638635635376,0.441482,18.866091012954712,0.849956,18.896337032318115,22.0078
19.380544662475586,-0.0627121,19.700541257858276,-0.0639646,20.304125785827637,1.832173,20.77203130722046,0.0995932,21.37497878074646,0.442765,21.686584949493408,0.441515,21.982120990753174,0.850009,22.012415409088135,22.0313
22.49193787574768,-0.0627199,22.806021690368652,-0.0639702,23.40668249130249,1.832276,23.86980366706848,0.0995932,24.47994875907898,0.442796,24.781694650650024,0.441551,25.08406376838684,0.850048,25.115095615386963,22.0078
25.594197034835815,-0.0627274,25.897205352783203,-0.0639742,26.503467559814453,1.832373,26.967220544815063,0.0995927,27.5816752910614,0.442829,27.883596420288086,0.441575,28.18954372406006,0.850091,28.22077989578247,22.0547
28.698662042617798,-0.0627321,29.00534439086914,-0.0639751,29.6274573802948,1.832475,30.116447925567627,0.0995916,30.731699228286743,0.442862,31.03372597694397,0.441616,31.351537942886353,0.850134,31.382814407348633,22.0547
31.866398334503174,-0.0627351,32.182955265045166,-0.0639829,32.83954429626465,1.83257,33.30240345001221,0.0995932,33.91262912750244,0.442886,34.21264934539795,0.441644,34.51672863960266,0.850188,34.54095482826233,22.1094
35.03143095970154,-0.0627389,35.344072103500366,-0.0639873,35.969146490097046,1.832679,36.43077039718628,0.0995939,37.040321826934814,0.442913,37.34735727310181,0.441671,37.6454758644104,0.850223,37.67644238471985,22.0313
38.156235456466675,-0.0627455,38.479284048080444,-0.0639931,39.105090856552124,1.832756,39.558672189712524,0.0995928,40.189940452575684,0.442939,40.50302481651306,0.441705,40.81703758239746,0.850268,40.8482723236084,22.0781
41.318121671676636,-0.0627534,41.63993716239929,-0.0639927,42.26073980331421,1.832861,42.73382115364075,0.0995929,43.3380982875824,0.442966,43.64641261100769,0.441726,43.9478178024292,0.850295,43.979037284851074,22.0781
44.458868741989136,-0.0627607,44.77560329437256,-0.0639994,45.39870524406433,1.832935,45.86785817146301,0.0995919,46.49193453788757,0.442995,46.80913591384888,0.441758,47.116854190826416,0.850335,47.16343569755554,22.0781
47.65402388572693,-0.0627675,47.977880239486694,-0.0640048,48.59297180175781,1.833019,49.055174589157104,0.0995917,49.681880950927734,0.443023,50.00284790992737,0.441785,50.320563316345215,0.850378,50.36195707321167,22.0781
50.835071086883545,-0.0627721,51.14805865287781,-0.0640088,51.76850962638855,1.83311,52.242687940597534,0.099593,52.86831068992615,0.443045,53.1757128238678,0.441813,53.4933226108551,0.850416,53.54486846923828,22.0938
54.02902007102966,-0.0627781,54.35127305984497,-0.0640099,54.97723197937012,1.833191,55.444331407547,0.0995929,56.068432092666626,0.443076,56.39074659347534,0.441835,56.7137393951416,0.850458,56.74953746795654,22.2031
57.244364976882935,-0.062782,57.560280084609985,-0.0640148,58.17970013618469,1.833281,58.63943552970886,0.0995927,59.26641488075256,0.443102,59.58820295333862,0.441863,59.91061544418335,0.850491,59.95186448097229,22.1406
60.42540264129639,-0.0627873,60.74326229095459,-0.0640184,61.35979509353638,1.833355,61.82696461677551,0.0995926,62.43760967254639,0.443119,62.74048733711243,0.441887,63.084073066711426,0.85053,63.13608455657959,22.1797
63.62468147277832,-0.0627943,63.930317401885986,-0.0640236,64.56388282775879,1.833425,65.032390832901,0.0995925,65.64713597297668,0.443145,65.95938491821289,0.441911,66.25476884841919,0.850557,66.28141641616821,22.1406
66.76629447937012,-0.0627979,67.08905696868896,-0.0640266,67.68783283233643,1.833527,68.16103529930115,0.099593,68.77719306945801,0.44317,69.08381247520447,0.441936,69.38094472885132,0.850588,69.42216372489929,22.1875
69.91239404678345,-0.0627992,70.23937749862671,-0.0640305,70.86003971099854,1.833589,71.31406044960022,0.0995922,71.93756532669067,0.443196,72.25154829025269,0.441958,72.55900883674622,0.850621,72.60045075416565,22.1406
73.08537530899048,-0.0628033,73.39197850227356,-0.0640357,74.01237893104553,1.833669,74.47607183456421,0.0995932,75.07048439979553,0.443216,75.38606095314026,0.441979,75.6930513381958,0.850658,75.73920726776123,22.1406
76.20751905441284,-0.062811,76.51267981529236,-0.064037,77.12939643859863,1.833739,77.58284878730774,0.0995931,78.19731950759888,0.443235,78.49382281303406,0.441999,78.82070899009705,0.850698,78.84081411361694,22.1641
79.3083815574646,-0.0628139,79.65222573280334,-0.0640402,80.2541675567627,1.833826,80.7174425125122,0.0995926,81.33092713356018,0.443262,81.63277411460876,0.442024,81.95322918891907,0.850731,81.98343968391418,22.1797
82.43622326850891,-0.0628167,82.76606607437134,-0.0640431,83.37207055091858,1.833899,83.83060455322266,0.099593,84.44056177139282,0.443279,84.74342465400696,0.442044,85.05644035339355,0.850759,85.10329222679138,22.1328
85.57295823097229,-0.0628213,85.88897681236267,-0.0640488,86.50497055053711,1.833953,86.97275924682617,0.0995927,87.57794237136841,0.443302,87.88361120223999,0.442068,88.18514204025269,0.850793,88.20657777786255,22.1641
88.67476511001587,-0.0628238,89.00462055206299,-0.0640491,89.6047990322113,1.834012,90.07387375831604,0.099592,90.66904425621033,0.443319,90.98131513595581,0.442085,91.27868914604187,0.850819,91.31994247436523,22.2266
91.79467606544495,-0.0628288,92.09628796577454,-0.0640528,92.72239470481873,1.834089,93.18605995178223,0.0995927,93.79087948799133,0.443341,94.09719157218933,0.442107,94.42508053779602,0.850843,94.46230053901672,22.1875
94.92526364326477,-0.0628339,95.23131656646729,-0.0640531,95.83016157150269,1.834183,96.29468512535095,0.0995916,96.90468001365662,0.443359,97.21122550964355,0.442127,97.51297807693481,0.850871,97.54860091209412,22.1875
98.02569150924683,-0.062833,98.33788347244263,-0.0640582,98.95349049568176,1.834231,99.42254495620728,0.0995935,100.02705454826355,0.443379,100.32437658309937,0.442144,100.63714361190796,0.850901,100.66299939155579,22.2109
101.13885855674744,-0.0628386,101.46285676956177,-0.0640644,102.06729221343994,1.834288,102.53100156784058,0.0995933,103.14526534080505,0.443397,103.44683957099915,0.442171,103.75631284713745,0.850927,103.78856801986694,22.2109
104.26476693153381,-0.0628468,104.58215546607971,-0.064065,105.18658471107483,1.834346,105.65446758270264,0.0995931,106.26406264305115,0.443414,106.56576371192932,0.442188,106.86425304412842,0.850962,106.8999571800232,22.1563
107.37941837310791,-0.0628497,107.69768691062927,-0.0640667,108.29752707481384,1.834407,108.76611304283142,0.0995926,109.37460470199585,0.443438,109.67078638076782,0.442214,109.98486709594727,0.850993,110.03171586990356,22.2344
110.49569082260132,-0.0628517,110.80329465866089,-0.0640711,111.40453386306763,1.834471,111.86840271949768,0.0995922,112.47739934921265,0.443455,112.77321672439575,0.44223,113.08584880828857,0.851018,113.1172366142273,22.1641
113.58691239356995,-0.0628574,113.89302039146423,-0.0640743,114.49760222434998,1.834544,114.96656131744385,0.0995932,115.581130027771,0.443471,115.87211894989014,0.442248,116.18875503540039,0.851042,116.22468614578247,22.2109
116.69824504852295,-0.0628621,117.02101635932922,-0.0640742,117.64186406135559,1.834584,118.10557818412781,0.0995934,118.70529770851135,0.443487,119.01123332977295,0.442265,119.30789160728455,0.851069,119.3649320602417,22.2031
119.84876704216003,-0.0628645,120.15584397315979,-0.0640799,120.76911520957947,1.834642,121.23777222633362,0.0995922,121.8469500541687,0.443505,122.1408212184906,0.442286,122.4522533416748,0.851102,122.48269128799438,22.2266
122.96298837661743,-0.0628662,123.2760603427887,-0.0640817,123.89782571792603,1.834717,124.36692571640015,0.0995932,124.99217772483826,0.443521,125.2992525100708,0.442301,125.63092422485352,0.851117,125.66223216056824,22.2266
126.13611078262329,-0.0628688,126.46450614929199,-0.0640844,127.06945967674255,1.834762,127.53200316429138,0.0995924,128.15010929107666,0.443538,128.46530723571777,0.442316,128.7764914035797,0.851139,128.80686450004578,22.2266
129.29096913337708,-0.062875,129.60843777656555,-0.0640893,130.21253871917725,1.834822,130.6868076324463,0.0995932,131.3063826560974,0.443554,131.61805725097656,0.442332,131.916574716568,0.851172,131.9635283946991,22.3125
132.43092465400696,-0.0628773,132.76269817352295,-0.064093,133.36657094955444,1.834875,133.82548022270203,0.0995925,134.43098378181458,0.443571,134.74349427223206,0.442355,135.04038333892822,0.851194,135.07612776756287,22.3125
