Date:,Thu Sep  5 13:47:39 2024
Time:,1725558459.9965076
t1,v1,t2,v2,t3,v3,t4,v4,t9,T
0.45293688774108887,-0.0062823,0.8582215309143066,-0.0063879,1.1582090854644775,0.1819879,1.473346471786499,0.0099402,1.4833812713623047,21.3203
1.7912917137145996,-0.0062838,2.1033949851989746,-0.0063881,2.4053282737731934,0.1819877,2.7093424797058105,0.0099399,2.7402849197387695,21.3906
3.0396857261657715,-0.0062834,3.3304097652435303,-0.0063887,3.6314589977264404,0.1819929,3.9402968883514404,0.0099397,3.942432165145874,21.3594
4.259630441665649,-0.0062823,4.573802471160889,-0.0063879,4.870570659637451,0.1819941,5.8083741664886475,0.0099394,5.854968786239624,21.4141
6.171044826507568,-0.0062826,6.47670841217041,-0.0063876,6.783320426940918,0.1819879,7.0797083377838135,0.0099396,7.095085144042969,21.3438
7.407921075820923,-0.0062828,7.6943864822387695,-0.006389,7.991960048675537,0.1819907,8.314883947372437,0.0099394,8.34610390663147,21.3672
8.654565572738647,-0.0062829,8.946604251861572,-0.0063886,9.264238119125366,0.1819956,9.571721076965332,0.0099399,9.594014883041382,21.3828
9.891013622283936,-0.0062819,10.198240041732788,-0.0063877,10.510434627532959,0.181998,10.81281304359436,0.0099391,10.832971811294556,21.4063
11.13012146949768,-0.0062816,11.432371616363525,-0.0063872,11.723231315612793,0.1819913,12.010086059570312,0.0099398,12.041362285614014,21.3203
12.337780714035034,-0.0062826,12.650520324707031,-0.0063882,12.939049482345581,0.1819916,13.253325462341309,0.0099394,13.26894998550415,21.3828
13.573353052139282,-0.0062823,13.877737283706665,-0.0063882,14.170100688934326,0.181997,14.490717887878418,0.0099399,14.521692991256714,21.4531
14.81568694114685,-0.0062824,15.109376668930054,-0.0063876,15.410176992416382,0.1819927,15.717688083648682,0.0099398,15.748630285263062,21.3672
16.046478271484375,-0.0062829,16.348153829574585,-0.0063874,16.6746244430542,0.1819939,16.981498956680298,0.0099405,16.997117519378662,21.3828
17.30997323989868,-0.006283,17.636953830718994,-0.006388,17.93002438545227,0.1819965,18.242756128311157,0.0099404,18.289663076400757,21.3594
18.585572004318237,-0.006282,18.890735864639282,-0.0063877,19.178498029708862,0.1819948,19.475366830825806,0.009939,19.501002550125122,21.3828
19.803566932678223,-0.0062824,20.090737104415894,-0.0063884,20.398276567459106,0.1819928,20.68986678123474,0.0099402,20.720799207687378,21.3672
21.02324604988098,-0.0062826,21.343575477600098,-0.0063869,21.64117455482483,0.1819941,21.954581260681152,0.0099395,21.96115231513977,21.3438
22.264068365097046,-0.006282,22.582319259643555,-0.0063876,22.884212255477905,0.1819988,23.209599018096924,0.0099403,23.22991704940796,21.3203
23.532014846801758,-0.006283,23.826744079589844,-0.0063877,24.123202085494995,0.1819973,24.41392731666565,0.0099407,24.434029817581177,21.3672
24.737152814865112,-0.0062819,25.05537438392639,-0.0063876,25.37194538116455,0.1819945,25.69447946548462,0.0099397,25.710060358047485,21.3438
26.00632095336914,-0.0062821,26.323889017105103,-0.0063869,26.651365280151367,0.182002,26.94241166114807,0.0099403,26.97342610359192,21.3906
27.264503002166748,-0.006282,27.576666593551636,-0.0063876,27.889629364013672,0.1819965,28.193217039108276,0.0099398,28.223644733428955,21.3828
28.5223286151886,-0.0062821,28.814542770385742,-0.0063876,29.117050170898438,0.1819958,29.445130825042725,0.0099401,29.460739850997925,21.3438
29.767536401748657,-0.0062819,30.06993269920349,-0.0063879,30.371774911880493,0.1819963,30.689613819122314,0.0099404,30.72053599357605,21.3828
31.028275966644287,-0.006282,31.32507038116455,-0.0063877,31.631087064743042,0.1819964,31.948928833007812,0.009939,31.964574813842773,21.2734
32.261881828308105,-0.0062826,32.57201361656189,-0.0063871,32.87739849090576,0.181996,33.179388761520386,0.0099396,33.21033692359924,21.3281
33.5230553150177,-0.0062826,33.81906032562256,-0.0063875,34.12930655479431,0.1819973,34.44667077064514,0.009941,34.466837644577026,21.3906
34.764859676361084,-0.0062824,35.072001934051514,-0.006388,35.37402892112732,0.1819999,35.68039512634277,0.0099403,35.71133232116699,21.3906
36.030712604522705,-0.0062821,36.32625889778137,-0.0063875,36.65326476097107,0.181998,36.975456953048706,0.0099408,37.02231526374817,21.3125
37.338722467422485,-0.0062826,37.66183829307556,-0.0063871,37.974611043930054,0.1820057,38.28557777404785,0.0099405,38.33247470855713,21.3828
38.63970899581909,-0.0062831,38.953919649124146,-0.0063873,39.261505126953125,0.1819986,39.57802700996399,0.00994,39.613778829574585,21.4063
39.94152641296387,-0.0062815,40.2599093914032,-0.0063871,40.56673073768616,0.1820037,40.87920570373535,0.009941,40.910186767578125,21.3594
41.24340319633484,-0.0062817,41.5465407371521,-0.0063866,41.84980082511902,0.1820054,42.14650774002075,0.0099409,42.177855253219604,21.3906
42.47945594787598,-0.0062825,42.782665491104126,-0.006387,43.09583854675293,0.182002,43.39792609214783,0.0099403,43.4235999584198,21.3906
43.73613238334656,-0.0062812,44.052635192871094,-0.0063868,44.34940052032471,0.182003,44.65822958946228,0.0099406,44.678375244140625,21.4297
44.98137378692627,-0.0062812,45.27828073501587,-0.0063875,45.58917737007141,0.1819996,45.886138916015625,0.0099407,45.91644549369812,21.3906
46.231016397476196,-0.006282,46.53126096725464,-0.0063862,46.83796238899231,0.1819994,47.129631996154785,0.0099409,47.16059732437134,21.3828
47.45652747154236,-0.0062824,47.761547565460205,-0.0063876,48.05931615829468,0.1820032,48.381913900375366,0.0099421,48.40783452987671,21.4375
48.70424699783325,-0.0062807,49.017903327941895,-0.006387,49.310049295425415,0.1820016,49.59129095077515,0.0099412,49.622275829315186,21.4375
49.93047595024109,-0.006281,50.23767042160034,-0.0063867,50.544228315353394,0.1820009,50.867772817611694,0.0099411,50.898300647735596,21.3281
51.21517372131348,-0.0062812,51.515644788742065,-0.0063862,51.81833529472351,0.1820057,52.12916135787964,0.0099412,52.16010093688965,21.4688
52.46093463897705,-0.0062821,52.75746560096741,-0.0063873,53.062941789627075,0.1820017,53.370380878448486,0.0099406,53.40164923667908,21.3594
53.719337940216064,-0.0062815,54.0198974609375,-0.0063865,54.30449414253235,0.1820046,54.617024660110474,0.009941,54.632673501968384,21.3125
54.93418884277344,-0.0062806,55.239336013793945,-0.0063873,55.557414293289185,0.1820017,55.8634512424469,0.009941,55.879058837890625,21.3281
56.182008266448975,-0.0062821,56.48924970626831,-0.0063872,56.804749727249146,0.1820007,57.11207413673401,0.0099414,57.15626931190491,21.3828
57.46779441833496,-0.0062811,57.76012587547302,-0.0063868,58.07216429710388,0.1820016,58.36277890205383,0.0099414,58.38832354545593,21.3906
58.6899790763855,-0.0062822,59.0022931098938,-0.0063866,59.31950545310974,0.1820018,59.63898777961731,0.0099415,59.65896654129028,21.3438
59.944581031799316,-0.0062828,60.25212073326111,-0.0063866,60.55323624610901,0.1820021,60.845590114593506,0.0099407,60.86094903945923,21.4375
61.16838026046753,-0.0062809,61.48093605041504,-0.0063876,61.79304766654968,0.1820083,62.098487854003906,0.0099418,62.11409783363342,21.3906
62.41657328605652,-0.0062813,62.722620725631714,-0.0063863,63.02539944648743,0.1820034,63.342039823532104,0.0099417,63.373024225234985,21.3438
63.6858913898468,-0.0062811,63.99810719490051,-0.0063869,64.30075073242188,0.1820088,64.59807848930359,0.0099415,64.64475536346436,21.4141
64.95646715164185,-0.0062818,65.26255536079407,-0.0063871,65.56384301185608,0.1820084,65.86208415031433,0.0099412,65.89565777778625,21.4141
