seconds_pre_waveform_query	1730218024.88533
seconds_post_waveform_query	1730218024.9329011
xzero2	0
xmultiplier2	0.0002
yzero2	0.96
ymultiplier2	0.02
transfer_duty_cycle	1.0
xzero3	0
xmultiplier3	0.0002
yzero3	2.68
ymultiplier3	0.04
/sillyscope/VISA/Device	'USB0::0x1AB1::0x04CE::DS1ZA204719905::INSTR'
/sillyscope/Acquire/Iterations	0
/sillyscope/Acquire/Trigger	False
/sillyscope/Acquire/Get_First_Header	True
/sillyscope/Acquire/Get_All_Headers	True
/sillyscope/Acquire/Discard_Identical	False
/sillyscope/Acquire/RIGOL1000BDE/Trigger_Delay	0.05
/sillyscope/Acquire/RIGOL1000BDE/Unlock	True
/sillyscope/Acquire/RIGOL1000Z/Always_Clear	True
DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'x'\nylabels = ( 'y2', 'y3' )\n"
self.number_history	0
self.text_log_note	'Note'

x	y2	y3
0.0	1.16	2.879
0.0002	1.18	3.2
0.0004	1.16	3.2
0.0006000000000000001	1.18	3.48
0.0008	1.16	3.48
0.001	1.18	3.76
0.0012000000000000001	1.16	3.719
0.0014	1.18	3.92
0.0016	1.16	3.879
0.0018000000000000002	1.18	4.0
0.002	1.18	3.96
0.0022	1.14	4.04
0.0024000000000000002	1.16	4.0
0.0026000000000000003	1.18	3.76
0.0028	1.18	3.8
0.003	1.12	3.52
0.0032	1.14	3.56
0.0034000000000000002	1.12	3.24
0.0036000000000000003	1.14	3.28
0.0038	1.1	2.92
0.004	1.12	2.959
0.004200000000000001	1.08	2.68
0.0044	1.08	2.719
0.0046	1.04	2.52
0.0048000000000000004	1.06	2.56
0.005	0.98	2.52
0.005200000000000001	1.0	2.52
0.0054	0.92	2.6
0.0056	0.94	2.56
0.0058000000000000005	0.82	2.799
0.006	0.86	2.76
0.006200000000000001	0.76	3.04
0.0064	0.78	3.0
0.0066	0.7	3.32
0.0068000000000000005	0.7197	3.32
0.007	0.6396	3.68
0.007200000000000001	0.66	3.68
0.0074	0.62	3.92
0.0076	0.62	3.879
0.0078000000000000005	0.7197	4.04
0.008	0.6797	4.0
0.0082	0.76	4.12
0.008400000000000001	0.6797	4.12
0.0086	0.78	4.0
0.0088	0.7197	4.04
0.009000000000000001	0.82	3.84
0.0092	0.76	3.879
0.0094	0.84	3.6
0.009600000000000001	0.76	3.64
0.0098	0.88	3.28
0.01	0.8	3.32
0.0102	1.1	3.0
0.010400000000000001	0.9	3.04
0.0106	1.86	2.76
0.0108	1.641	2.799
0.011000000000000001	2.82	2.56
0.0112	2.82	2.6
0.0114	0.96	2.56
0.011600000000000001	0.96	2.56
0.0118	0.7	2.719
0.012	0.7197	2.68
0.0122	0.5596	2.92
0.012400000000000001	0.58	2.879
0.0126	0.4998	3.2
0.0128	0.5195	3.16
0.013000000000000001	0.46	3.48
0.0132	0.48	3.48
0.0134	0.46	3.8
0.013600000000000001	0.48	3.8
0.013800000000000002	0.54	4.04
0.014	0.5195	4.04
0.0142	0.5996	4.16
0.014400000000000001	0.58	4.242
0.0146	0.66	4.12
0.0148	0.6396	4.242
0.015000000000000001	0.76	4.08
0.0152	0.7397	4.12
0.0154	0.84	3.84
0.015600000000000001	0.84	3.879
0.0158	0.92	3.6
0.016	0.9	3.64
0.0162	0.96	3.28
0.0164	0.94	3.32
0.0166	1.0	3.0
0.016800000000000002	0.98	3.04
0.017	1.02	2.76
0.0172	1.02	2.799
0.017400000000000002	0.96	2.64
0.0176	0.94	2.719
0.0178	1.0	2.64
0.018000000000000002	0.96	2.68
0.0182	0.92	2.84
0.0184	0.94	2.799
0.018600000000000002	0.86	3.08
0.0188	0.88	3.04
0.019	0.8	3.44
0.019200000000000002	0.82	3.4
0.0194	0.76	3.719
0.0196	0.78	3.719
0.0198	0.7197	4.04
0.02	0.76	4.04
0.020200000000000003	0.6797	4.242
0.0204	0.7197	4.2
0.0206	0.6396	4.36
0.020800000000000003	0.66	4.36
0.021	0.6396	4.242
0.0212	0.66	4.28
0.021400000000000002	0.62	4.08
0.0216	0.6396	4.12
0.0218	1.06	3.84
0.022000000000000002	0.6396	3.879
0.0222	0.7	3.52
0.0224	0.6396	3.52
0.022600000000000002	0.82	3.2
0.0228	0.8	3.2
0.023	2.08	2.959
0.023200000000000002	1.92	2.959
0.0234	0.9	2.799
0.0236	0.88	2.84
0.0238	1.84	2.76
0.024	1.641	2.76
0.024200000000000003	0.88	2.879
0.0244	1.08	2.879
0.0246	0.86	3.04
0.024800000000000003	0.84	3.0
0.025	0.94	3.32
0.0252	0.86	3.28
0.025400000000000002	0.96	3.64
0.0256	0.94	3.6
0.0258	0.82	4.0
0.026000000000000002	0.86	3.96
0.0262	0.92	4.242
0.0264	0.86	4.2
0.026600000000000002	0.94	4.36
0.0268	0.86	4.32
0.027	0.96	4.4
0.027200000000000002	0.92	4.4
0.0274	1.0	4.32
0.027600000000000003	0.96	4.36
0.027800000000000002	1.02	4.08
0.028	1.0	4.12
0.028200000000000003	1.06	3.84
0.0284	1.02	3.879
0.0286	1.08	3.52
0.028800000000000003	1.06	3.52
0.029	1.12	3.2
0.0292	1.12	3.2
0.029400000000000003	1.06	3.0
0.0296	1.1	3.04
0.0298	1.12	2.879
0.030000000000000002	1.1	2.92
0.0302	1.14	2.799
0.0304	1.12	2.879
0.030600000000000002	1.18	3.04
0.0308	1.12	3.0
0.031	1.18	3.2
0.031200000000000002	1.12	3.16
0.031400000000000004	1.18	3.52
0.0316	1.18	3.48
0.0318	1.12	3.8
0.032	1.18	3.76
0.0322	1.12	4.16
0.0324	1.12	4.12
0.032600000000000004	1.18	4.4
0.0328	1.12	4.32
0.033	1.18	4.52
0.0332	1.18	4.44
0.0334	1.12	4.52
0.033600000000000005	1.14	4.52
0.033800000000000004	1.18	4.4
0.034	1.18	4.48
0.0342	1.16	4.2
0.0344	1.16	4.12
0.0346	1.18	4.28
0.034800000000000005	1.16	4.242
0.035	1.18	4.4
0.0352	1.16	4.36
0.0354	1.18	4.52
0.0356	1.16	4.52
0.0358	1.18	4.48
0.036000000000000004	1.16	4.52
0.0362	1.18	4.48
0.0364	1.16	4.52
0.0366	1.18	4.4
0.0368	1.18	4.48
0.037000000000000005	1.16	4.28
0.037200000000000004	1.16	4.28
0.0374	1.18	4.08
0.0376	1.18	4.12
0.0378	1.14	3.8
0.038	1.18	3.84
0.038200000000000005	1.12	3.56
0.038400000000000004	1.12	3.56
0.0386	1.18	3.36
0.0388	1.12	3.36
0.039	1.18	3.12
0.0392	1.14	3.16
0.039400000000000004	1.12	2.92
0.0396	1.14	2.959
0.0398	1.12	2.84
0.04	1.14	2.92
0.0402	1.1	2.799
0.040400000000000005	1.1	2.799
0.040600000000000004	1.14	2.92
0.0408	1.14	2.879
0.041	1.1	3.08
0.0412	1.12	3.04
0.0414	1.06	3.28
0.041600000000000005	1.12	3.24
0.041800000000000004	1.06	3.52
0.042	1.08	3.48
0.0422	1.04	3.76
0.0424	1.08	3.719
0.0426	1.0	4.0
0.042800000000000005	1.06	3.96
0.043000000000000003	0.98	4.16
0.0432	1.02	4.12
0.0434	0.94	4.28
0.0436	1.0	4.242
0.0438	0.92	4.4
0.044000000000000004	0.96	4.4
0.0442	0.92	4.36
0.0444	0.94	4.4
0.0446	0.88	4.242
0.0448	0.9	4.28
0.045000000000000005	0.86	4.08
0.045200000000000004	0.9	4.12
0.0454	0.82	3.879
0.0456	0.84	3.92
0.0458	0.8	3.6
0.046	0.8	3.64
0.046200000000000005	0.88	3.36
0.046400000000000004	0.86	3.32
0.0466	0.76	3.04
0.0468	0.76	3.08
0.047	0.86	2.879
0.0472	0.86	2.92
0.047400000000000005	0.94	2.76
0.0476	0.88	2.799
0.0478	1.84	2.68
0.048	1.86	2.68
0.0482	0.92	2.799
0.048400000000000006	0.92	2.76
0.048600000000000004	1.46	2.959
0.0488	2.102	2.92
0.049	1.08	3.12
0.0492	1.08	3.12
0.0494	0.8	3.36
0.049600000000000005	0.84	3.36
0.049800000000000004	0.7	3.64
0.05	0.6797	3.6
0.0502	0.86	3.92
0.0504	1.06	3.879
0.0506	0.7397	4.12
0.050800000000000005	0.82	4.08
0.051000000000000004	0.6797	4.242
0.0512	0.76	4.2
0.0514	0.6797	4.28
0.0516	0.76	4.28
0.051800000000000006	0.7	4.2
0.052000000000000005	0.76	4.242
0.0522	0.7	4.08
0.0524	0.7	4.12
0.0526	0.7397	3.84
0.0528	0.7	3.879
0.053000000000000005	0.78	3.64
0.053200000000000004	0.7397	3.68
0.0534	0.82	3.36
0.0536	0.76	3.4
0.0538	0.84	3.08
0.054	0.82	3.08
0.054200000000000005	0.88	2.799
0.054400000000000004	0.86	2.84
0.0546	0.94	2.68
0.0548	0.92	2.719
0.055	0.96	2.64
0.055200000000000006	0.94	2.64
0.055400000000000005	1.0	2.68
0.055600000000000004	0.98	2.64
0.0558	1.0	2.799
0.056	0.98	2.76
0.0562	1.0	3.04
0.056400000000000006	1.0	3.0
0.056600000000000004	0.94	3.24
0.0568	0.96	3.24
0.057	0.92	3.52
0.0572	0.94	3.48
0.0574	0.86	3.76
0.057600000000000005	0.9	3.719
0.057800000000000004	0.8	4.0
0.058	0.84	3.96
0.0582	0.7397	4.12
0.0584	0.78	4.08
0.058600000000000006	0.66	4.16
0.058800000000000005	0.7197	4.16
0.059000000000000004	0.5996	4.08
0.0592	0.66	4.12
0.0594	0.5596	3.92
0.0596	0.6396	4.0
0.059800000000000006	0.5195	3.719
0.060000000000000005	0.5996	3.76
0.060200000000000004	0.4998	3.48
0.0604	0.4998	3.48
0.0606	0.58	3.2
0.0608	0.4998	3.24
0.061000000000000006	0.58	2.92
0.061200000000000004	0.5596	2.959
0.0614	0.66	2.76
0.0616	0.66	2.76
0.0618	0.8	2.56
0.062	0.8	2.6
0.062200000000000005	1.04	2.52
0.062400000000000004	1.06	2.52
0.0626	2.82	2.6
0.06280000000000001	2.64	2.56
0.063	1.641	2.719
0.0632	2.04	2.68
0.0634	0.84	2.959
0.0636	1.12	2.879
0.06380000000000001	0.8	3.2
0.064	0.82	3.16
0.06420000000000001	0.7397	3.44
0.0644	0.78	3.44
0.0646	0.7	3.68
0.0648	0.76	3.719
0.065	0.6797	3.92
0.06520000000000001	0.7197	3.879
0.0654	0.6396	4.04
0.0656	0.7	4.04
0.0658	0.62	4.0
0.066	0.7197	4.04
0.06620000000000001	0.6396	3.92
0.0664	0.7197	3.92
0.0666	0.6396	3.76
0.0668	0.7197	3.8
0.067	0.6396	3.52
0.06720000000000001	0.6797	3.56
0.0674	0.76	3.24
0.06760000000000001	0.7197	3.28
0.0678	0.82	3.0
0.068	0.76	2.959
0.0682	0.88	2.76
0.0684	0.82	2.76
0.06860000000000001	0.9	2.56
0.0688	0.88	2.6
0.069	0.96	2.44
0.0692	0.94	2.48
0.0694	1.02	2.44
0.06960000000000001	1.0	2.44
0.0698	1.06	2.6
0.07	1.04	2.6
0.0702	1.12	2.799
0.0704	1.08	2.76
0.07060000000000001	1.12	3.04
0.0708	1.1	3.0
0.07100000000000001	1.14	3.32
0.0712	1.14	3.28
0.0714	1.12	3.64
0.0716	1.12	3.6
0.0718	1.18	3.8
0.07200000000000001	1.12	3.8
0.0722	1.18	3.92
0.0724	1.16	3.92
0.0726	1.18	3.879
0.0728	1.18	3.92
0.07300000000000001	1.16	3.84
0.0732	1.16	3.84
0.0734	1.18	3.64
0.0736	1.18	3.68
0.0738	1.16	3.4
0.07400000000000001	1.16	3.44
0.0742	1.18	3.12
0.07440000000000001	1.16	3.12
0.0746	1.18	2.879
0.0748	1.16	2.84
0.075	1.18	2.6
0.0752	1.18	2.6
0.07540000000000001	1.16	2.44
0.0756	1.16	2.48
0.0758	1.18	2.4
0.076	1.16	2.4
0.0762	1.18	2.48
0.07640000000000001	1.16	2.44
0.0766	1.18	2.6
0.07680000000000001	1.16	2.56
0.077	1.2	2.84
0.0772	1.16	2.799
0.07740000000000001	1.18	3.04
0.0776	1.16	3.04
0.07780000000000001	1.18	3.32
0.078	1.16	3.32
0.0782	1.18	3.56
0.0784	1.16	3.6
0.0786	1.18	3.76
0.07880000000000001	1.16	3.76
0.079	1.18	3.879
0.0792	1.18	3.879
0.0794	1.16	3.76
0.0796	1.16	3.8
0.07980000000000001	1.18	3.64
0.08	1.16	3.68
0.08020000000000001	1.18	3.48
0.0804	1.18	3.44
0.0806	1.16	3.16
0.08080000000000001	1.16	3.2
0.081	1.18	2.879
0.08120000000000001	1.16	2.92
0.0814	1.18	2.64
0.0816	1.16	2.68
0.0818	1.18	2.44
0.082	1.18	2.48
0.08220000000000001	1.16	2.32
0.0824	1.16	2.36
0.0826	1.18	2.32
0.0828	1.16	2.32
0.083	1.18	2.48
0.08320000000000001	1.16	2.44
0.0834	1.18	2.68
0.08360000000000001	1.16	2.64
0.0838	1.18	2.959
0.084	1.16	2.92
0.08420000000000001	1.18	3.24
0.0844	1.18	3.2
0.08460000000000001	1.16	3.44
0.0848	1.16	3.48
0.085	1.18	3.68
0.0852	1.18	3.64
0.0854	1.14	3.76
0.08560000000000001	1.18	3.76
0.0858	1.12	3.719
0.08600000000000001	1.12	3.719
0.0862	1.18	3.6
0.0864	1.18	3.64
0.08660000000000001	1.12	3.36
0.0868	1.18	3.4
0.08700000000000001	1.12	3.12
0.0872	1.18	3.16
0.0874	1.12	2.799
0.0876	1.18	2.84
0.0878	1.12	2.56
0.08800000000000001	1.14	2.6
0.0882	1.1	2.4
0.0884	1.12	2.44
0.0886	1.06	2.28
0.0888	1.08	2.32
0.08900000000000001	1.04	2.28
0.0892	1.06	2.28
0.08940000000000001	1.0	2.44
0.0896	1.02	2.4
0.0898	0.94	2.68
0.09000000000000001	0.96	2.64
0.0902	0.86	2.92
0.09040000000000001	0.88	2.879
0.0906	0.76	3.2
0.0908	0.82	3.16
0.091	0.6396	3.44
0.0912	0.7	3.4
0.09140000000000001	0.5596	3.64
0.0916	0.6396	3.6
0.0918	0.48	3.68
0.092	0.54	3.68
0.0922	0.4	3.6
0.09240000000000001	0.48	3.64
0.0926	0.3398	3.48
0.09280000000000001	0.44	3.48
0.093	0.2798	3.24
0.0932	0.42	3.28
0.09340000000000001	0.2998	3.0
0.0936	0.3198	3.04
0.09380000000000001	0.5195	2.68
0.094	0.48	2.719
0.0942	0.76	2.44
0.0944	0.6797	2.48
0.0946	1.18	2.28
