seconds_pre_waveform_query	1730402125.7596314
seconds_post_waveform_query	1730402125.8070223
xzero2	0
xmultiplier2	0.0002
yzero2	2.44
ymultiplier2	0.02
transfer_duty_cycle	1.0
xzero3	0
xmultiplier3	0.0002
yzero3	3.2
ymultiplier3	0.04
/sillyscope/VISA/Device	'USB0::0x1AB1::0x04CE::DS1ZA204719905::INSTR'
/sillyscope/Acquire/Iterations	20
/sillyscope/Acquire/Trigger	False
/sillyscope/Acquire/Get_First_Header	True
/sillyscope/Acquire/Get_All_Headers	True
/sillyscope/Acquire/Discard_Identical	False
/sillyscope/Acquire/RIGOL1000BDE/Trigger_Delay	0.05
/sillyscope/Acquire/RIGOL1000BDE/Unlock	True
/sillyscope/Acquire/RIGOL1000Z/Always_Clear	True
DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'x'\nylabels = ( 'y2', 'y3' )\n"
self.number_history	0
self.text_log_note	'Note'

x	y2	y3
0.0	2.5	4.68
0.0002	2.479	4.52
0.0004	2.479	4.56
0.0006000000000000001	2.5	4.36
0.0008	2.5	4.4
0.001	2.479	4.24
0.0012000000000000001	2.5	4.28
0.0014	2.479	4.04
0.0016	2.479	4.08
0.0018000000000000002	2.54	3.92
0.002	2.5	3.959
0.0022	2.479	3.799
0.0024000000000000002	2.5	3.84
0.0026000000000000003	2.479	3.68
0.0028	2.479	3.719
0.003	2.52	3.559
0.0032	2.54	3.6
0.0034000000000000002	2.479	3.52
0.0036000000000000003	2.479	3.52
0.0038	2.54	3.6
0.004	2.479	3.52
0.004200000000000001	2.54	3.559
0.0044	2.479	3.52
0.0046	2.54	3.6
0.0048000000000000004	2.479	3.559
0.005	2.54	3.52
0.005200000000000001	2.479	3.559
0.0054	2.54	3.52
0.0056	2.54	3.52
0.0058000000000000005	2.479	3.559
0.006	2.54	3.52
0.006200000000000001	2.479	3.6
0.0064	2.54	3.6
0.0066	2.479	3.559
0.0068000000000000005	2.5	3.559
0.007	2.479	3.68
0.007200000000000001	2.5	3.639
0.0074	2.479	3.799
0.0076	2.5	3.76
0.0078000000000000005	2.479	3.84
0.008	2.5	3.799
0.0082	2.479	3.959
0.008400000000000001	2.5	3.92
0.0086	2.479	4.04
0.0088	2.5	4.0
0.009000000000000001	2.479	4.16
0.0092	2.5	4.12
0.0094	2.459	4.28
0.009600000000000001	2.459	4.24
0.0098	2.5	4.4
0.01	2.459	4.36
0.0102	2.5	4.438
0.010400000000000001	2.5	4.4
0.0106	2.459	4.56
0.0108	2.459	4.52
0.011000000000000001	2.5	4.64
0.0112	2.459	4.6
0.0114	2.5	4.68
0.011600000000000001	2.479	4.64
0.0118	2.459	4.758
0.012	2.479	4.72
0.0122	2.44	4.8
0.012400000000000001	2.479	4.8
0.0126	2.42	4.758
0.0128	2.44	4.8
0.013000000000000001	2.42	4.758
0.0132	2.44	4.8
0.0134	2.4	4.72
0.013600000000000001	2.44	4.758
0.013800000000000002	2.4	4.64
0.014	2.42	4.68
0.0142	2.36	4.6
0.014400000000000001	2.42	4.64
0.0146	2.36	4.48
0.0148	2.379	4.52
0.015000000000000001	2.34	4.4
0.0152	2.36	4.438
0.0154	2.32	4.28
0.015600000000000001	2.36	4.32
0.0158	2.299	4.2
0.016	2.32	4.2
0.0162	2.28	4.04
0.0164	2.299	4.04
0.0166	2.24	3.879
0.016800000000000002	2.28	3.92
0.017	2.219	3.76
0.0172	2.24	3.799
0.017400000000000002	2.18	3.639
0.0176	2.2	3.68
0.0178	2.16	3.52
0.018000000000000002	2.18	3.559
0.0182	2.12	3.44
0.0184	2.139	3.479
0.018600000000000002	2.08	3.398
0.0188	2.12	3.398
0.019	2.04	3.318
0.019200000000000002	2.059	3.36
0.0194	1.9795	3.28
0.0196	1.999	3.318
0.0198	1.92	3.28
0.02	1.939	3.318
0.020200000000000003	1.879	3.28
0.0204	1.899	3.28
0.0206	1.819	3.36
0.020800000000000003	1.84	3.28
0.021	1.799	3.398
0.0212	1.819	3.318
0.021400000000000002	1.76	3.479
0.0216	1.819	3.44
0.0218	1.739	3.559
0.022000000000000002	1.76	3.52
0.0222	1.639	3.68
0.0224	1.659	3.639
0.022600000000000002	1.619	3.799
0.0228	1.639	3.76
0.023	1.579	3.92
0.023200000000000002	1.6	3.879
0.0234	1.719	4.04
0.0236	1.719	4.0
0.0238	1.539	4.16
0.024	1.539	4.12
0.024200000000000003	1.439	4.28
0.0244	1.439	4.24
0.0246	1.4795	4.4
0.024800000000000003	1.439	4.36
0.025	1.579	4.438
0.0252	1.559	4.4
0.025400000000000002	1.659	4.52
0.0256	1.539	4.48
0.0258	1.639	4.56
0.026000000000000002	1.619	4.52
0.0262	2.42	4.64
0.0264	2.4	4.6
0.026600000000000002	3.58	4.64
0.0268	2.6	4.6
0.027	1.619	4.64
0.027200000000000002	1.639	4.64
0.0274	1.52	4.52
0.027600000000000003	1.559	4.56
0.027800000000000002	1.9795	4.48
0.028	2.02	4.52
0.028200000000000003	3.898	4.36
0.0284	3.84	4.4
0.0286	1.699	4.28
0.028800000000000003	1.699	4.32
0.029	1.239	4.16
0.0292	1.219	4.2
0.029400000000000003	1.06	4.04
0.0296	1.06	4.08
0.0298	0.959	3.879
0.030000000000000002	0.9795	3.92
0.0302	0.8994	3.76
0.0304	0.8994	3.799
0.030600000000000002	0.9795	3.559
0.0308	0.959	3.6
0.031	1.339	3.44
0.031200000000000002	1.84	3.479
0.031400000000000004	1.159	3.318
0.0316	1.159	3.36
0.0318	0.8994	3.238
0.032	0.919	3.238
0.0322	0.879	3.16
0.0324	0.8994	3.2
0.032600000000000004	0.9395	3.08
0.0328	0.9395	3.12
0.033	0.879	3.04
0.0332	0.879	3.04
0.0334	0.999	3.08
0.033600000000000005	0.999	3.04
0.033800000000000004	1.079	3.08
0.034	1.06	3.04
0.0342	1.119	3.12
0.0344	1.119	3.08
0.0346	1.079	3.2
0.034800000000000005	1.02	3.16
0.035	1.179	3.238
0.0352	1.179	3.2
0.0354	1.279	3.36
0.0356	1.259	3.318
0.0358	1.339	3.479
0.036000000000000004	1.319	3.44
0.0362	1.399	3.6
0.0364	1.379	3.559
0.0366	1.459	3.799
0.0368	1.439	3.76
0.037000000000000005	1.52	3.92
0.037200000000000004	1.499	3.879
0.0374	1.6	4.04
0.0376	1.559	4.0
0.0378	1.659	4.16
0.038	1.639	4.12
0.038200000000000005	1.719	4.28
0.038400000000000004	1.699	4.24
0.0386	1.819	4.36
0.0388	1.779	4.36
0.039	1.879	4.438
0.0392	1.859	4.438
0.039400000000000004	1.939	4.4
0.0396	1.92	4.438
0.0398	1.999	4.4
0.04	1.9795	4.438
0.0402	2.02	4.36
0.040400000000000005	1.999	4.4
0.040600000000000004	2.059	4.28
0.0408	2.059	4.32
0.041	2.04	4.16
0.0412	2.059	4.2
0.0414	2.04	4.04
0.041600000000000005	2.059	4.08
0.041800000000000004	1.9795	3.879
0.042	2.02	3.92
0.0422	1.939	3.719
0.0424	1.959	3.719
0.0426	1.879	3.52
0.042800000000000005	1.899	3.559
0.043000000000000003	1.799	3.398
0.0432	1.819	3.44
0.0434	1.719	3.2
0.0436	1.719	3.238
0.0438	1.579	3.08
0.044000000000000004	1.6	3.12
0.0442	1.439	2.959
0.0444	1.459	3.0
0.0446	1.319	2.92
0.0448	1.339	2.959
0.045000000000000005	1.179	2.84
0.045200000000000004	1.179	2.84
0.0454	1.02	2.959
0.0456	1.039	2.84
0.0458	0.8994	2.959
0.046	0.919	2.92
0.046200000000000005	0.7793	3.0
0.046400000000000004	0.799	2.959
0.0466	0.659	3.12
0.0468	0.6787	3.08
0.047	0.579	3.238
0.0472	0.579	3.238
0.047400000000000005	0.4795	3.44
