seconds_pre_waveform_query	1730402048.9824457
seconds_post_waveform_query	1730402049.029799
xzero2	0
xmultiplier2	0.0002
yzero2	2.44
ymultiplier2	0.02
transfer_duty_cycle	1.0
xzero3	0
xmultiplier3	0.0002
yzero3	3.2
ymultiplier3	0.04
/sillyscope/VISA/Device	'USB0::0x1AB1::0x04CE::DS1ZA204719905::INSTR'
/sillyscope/Acquire/Iterations	20
/sillyscope/Acquire/Trigger	False
/sillyscope/Acquire/Get_First_Header	True
/sillyscope/Acquire/Get_All_Headers	True
/sillyscope/Acquire/Discard_Identical	False
/sillyscope/Acquire/RIGOL1000BDE/Trigger_Delay	0.05
/sillyscope/Acquire/RIGOL1000BDE/Unlock	True
/sillyscope/Acquire/RIGOL1000Z/Always_Clear	True
DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'x'\nylabels = ( 'y2', 'y3' )\n"
self.number_history	0
self.text_log_note	'Note'

x	y2	y3
0.0	2.54	4.32
0.0002	2.479	4.12
0.0004	2.479	4.16
0.0006000000000000001	2.54	3.92
0.0008	2.52	3.959
0.001	2.54	3.799
0.0012000000000000001	2.52	3.84
0.0014	2.54	3.68
0.0016	2.52	3.719
0.0018000000000000002	2.54	3.6
0.002	2.52	3.6
0.0022	2.559	3.52
0.0024000000000000002	2.52	3.52
0.0026000000000000003	2.559	3.559
0.0028	2.52	3.52
0.003	2.559	3.559
0.0032	2.559	3.52
0.0034000000000000002	2.52	3.559
0.0036000000000000003	2.559	3.52
0.0038	2.52	3.68
0.004	2.559	3.639
0.004200000000000001	2.52	3.719
0.0044	2.559	3.68
0.0046	2.52	3.799
0.0048000000000000004	2.52	3.719
0.005	2.559	3.639
0.005200000000000001	2.52	3.68
0.0054	2.559	3.559
0.0056	2.52	3.6
0.0058000000000000005	2.559	3.559
0.006	2.52	3.52
0.006200000000000001	2.559	3.6
0.0064	2.52	3.559
0.0066	2.559	3.52
0.0068000000000000005	2.52	3.559
0.007	2.559	3.52
0.007200000000000001	2.52	3.52
0.0074	2.559	3.559
0.0076	2.52	3.52
0.0078000000000000005	2.559	3.559
0.008	2.52	3.52
0.0082	2.559	3.6
0.008400000000000001	2.52	3.559
0.0086	2.559	3.68
0.0088	2.52	3.639
0.009000000000000001	2.559	3.799
0.0092	2.52	3.719
0.0094	2.559	3.84
0.009600000000000001	2.52	3.799
0.0098	2.559	3.959
0.01	2.52	3.879
0.0102	2.54	4.04
0.010400000000000001	2.52	4.0
0.0106	2.54	4.16
0.0108	2.54	4.12
0.011000000000000001	2.52	4.28
0.0112	2.54	4.24
0.0114	2.5	4.4
0.011600000000000001	2.54	4.36
0.0118	2.479	4.52
0.012	2.54	4.48
0.0122	2.479	4.56
0.012400000000000001	2.479	4.52
0.0126	2.54	4.64
0.0128	2.5	4.6
0.013000000000000001	2.479	4.68
0.0132	2.5	4.64
0.0134	2.459	4.758
0.013600000000000001	2.459	4.758
0.013800000000000002	2.5	4.72
0.014	2.479	4.72
0.0142	2.42	4.8
0.014400000000000001	2.44	4.8
0.0146	2.42	4.72
0.0148	2.44	4.758
0.015000000000000001	2.4	4.68
0.0152	2.42	4.68
0.0154	2.36	4.6
0.015600000000000001	2.42	4.64
0.0158	2.34	4.56
0.016	2.36	4.56
0.0162	2.32	4.48
0.0164	2.36	4.48
0.0166	2.28	4.36
0.016800000000000002	2.32	4.4
0.017	2.24	4.24
0.0172	2.299	4.28
0.017400000000000002	2.219	4.12
0.0176	2.24	4.16
0.0178	2.18	4.0
0.018000000000000002	2.2	4.04
0.0182	2.139	3.799
0.0184	2.16	3.84
0.018600000000000002	2.1	3.68
0.0188	2.12	3.719
0.019	2.059	3.559
0.019200000000000002	2.08	3.6
0.0194	1.999	3.52
0.0196	2.02	3.559
0.0198	1.959	3.398
0.02	1.999	3.44
0.020200000000000003	1.92	3.318
0.0204	1.939	3.36
0.0206	1.859	3.28
0.020800000000000003	1.899	3.28
0.021	1.819	3.318
0.0212	1.84	3.2
0.021400000000000002	1.799	3.318
0.0216	1.799	3.2
0.0218	1.84	3.318
0.022000000000000002	1.819	3.28
0.0222	1.68	3.318
0.0224	1.699	3.28
0.022600000000000002	1.619	3.36
0.0228	1.619	3.318
